draft_id,draft_time,clock,draft_entry_id,tournament_entry_id,tournament_round_draft_entry_id,tournament_round_number,player_name,position_name,bye_week,projection_adp,pick_order,overall_pick_number,team_pick_number,pick_points,roster_points,playoff_team
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,dd23bf29-024b-4f9b-b4c6-2dc4eadcda66,aceeca74-ec23-4a66-8fcb-ad2b8927f26d,0d4fe994-2f78-4286-a31a-1ff481400ae4,1,Hunter Henry,TE,10,153.81,11,179,15,34.9,1350.86,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,84c25291-ae0b-419a-9b73-660b8c1b43d1,68362e32-ec4c-4923-aeb5-b2355cc431df,40fa7c66-e4be-4189-9075-44eab7c1c1e5,1,Zach Ertz,TE,13,108.83,7,103,9,90.4,1605.06,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,dd23bf29-024b-4f9b-b4c6-2dc4eadcda66,aceeca74-ec23-4a66-8fcb-ad2b8927f26d,0d4fe994-2f78-4286-a31a-1ff481400ae4,1,Allen Robinson,WR,7,39.87,11,38,4,59.0,1350.86,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,a23757cc-5bde-4c82-88cd-c170f74fb071,a08f8725-98e2-4c71-ba91-1fc4786c0c2a,cdae2bb0-0a47-475b-951e-eac31a2c1ce0,1,Jamaal Williams,RB,6,157.18,2,146,13,166.0,1418.1,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,a1bcbbe8-841f-416b-a29b-364c3ba032be,d14b7d06-1fa9-4833-8664-3f49a8fc57c7,2594517a-336c-4084-85fe-2fdda3a1d868,1,James Robinson,RB,10,136.65,12,132,11,71.6,1470.64,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,b1b31ca3-29b6-41ee-b00b-d31bf9525684,605b24af-3114-4b8c-a5e5-c1b4c22d3cc2,90140fcc-3462-48a8-a50a-c9421dbbc88c,1,Josh Allen,QB,7,31.72,9,33,3,296.42,1660.04,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,650cc4e0-536e-45f7-8e50-19c13449f6da,5fb1b862-2878-44bd-b56e-f45959b56ff2,4f3b6dc0-aba3-4ac4-9dfd-6bb94748b051,1,Marquise Brown,WR,13,42.22,5,44,4,88.0,1559.28,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,b1b31ca3-29b6-41ee-b00b-d31bf9525684,605b24af-3114-4b8c-a5e5-c1b4c22d3cc2,90140fcc-3462-48a8-a50a-c9421dbbc88c,1,Jalen Tolbert,WR,9,119.64,9,136,12,0.0,1660.04,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,a23757cc-5bde-4c82-88cd-c170f74fb071,a08f8725-98e2-4c71-ba91-1fc4786c0c2a,cdae2bb0-0a47-475b-951e-eac31a2c1ce0,1,Jeff Wilson,RB,11,212.76,2,194,17,102.2,1418.1,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,85684b3a-5c0e-4f2b-a146-f1eea46e4cf5,f0062164-9e68-4f76-870f-062cda3e9f71,d58af5a8-05dd-40fa-8e39-635969daf7e8,1,Mo Alie-Cox,TE,14,203.16,1,193,17,28.2,1544.1,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,650cc4e0-536e-45f7-8e50-19c13449f6da,5fb1b862-2878-44bd-b56e-f45959b56ff2,4f3b6dc0-aba3-4ac4-9dfd-6bb94748b051,1,Alvin Kamara,RB,14,18.72,5,20,2,122.8,1559.28,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,50de3fb5-73d7-4bc5-b546-c099f60a5499,ce0a7425-f199-46ad-9ddd-66cebb8adae8,1cd5946d-6843-4773-90a7-81f5b22f5343,1,Treylon Burks,WR,6,97.44,4,93,8,52.0,1395.32,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,a23757cc-5bde-4c82-88cd-c170f74fb071,a08f8725-98e2-4c71-ba91-1fc4786c0c2a,cdae2bb0-0a47-475b-951e-eac31a2c1ce0,1,Taysom Hill,TE,14,190.11,2,215,18,91.66,1418.1,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,650cc4e0-536e-45f7-8e50-19c13449f6da,5fb1b862-2878-44bd-b56e-f45959b56ff2,4f3b6dc0-aba3-4ac4-9dfd-6bb94748b051,1,Leonard Fournette,RB,11,24.69,5,29,3,149.3,1559.28,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,650cc4e0-536e-45f7-8e50-19c13449f6da,5fb1b862-2878-44bd-b56e-f45959b56ff2,4f3b6dc0-aba3-4ac4-9dfd-6bb94748b051,1,Dalton Schultz,TE,9,70.52,5,68,6,74.4,1559.28,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,b1b31ca3-29b6-41ee-b00b-d31bf9525684,605b24af-3114-4b8c-a5e5-c1b4c22d3cc2,90140fcc-3462-48a8-a50a-c9421dbbc88c,1,Rhamondre Stevenson,RB,10,85.6,9,88,8,155.2,1660.04,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,b944036d-1b25-430f-96b0-66b75c1f840f,af6a2cd3-e79b-4330-b158-be0d82535f7d,2042ae32-2616-4986-9371-03ad89027975,1,Tom Brady,QB,11,88.15,6,91,8,95.42,1435.8,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,bc0af491-940d-4cf1-af1f-74a30de04f8c,cc6d7909-fec9-4157-a544-389cb1364093,894914f0-0230-4d80-b128-78681c9ce8a2,1,Christian Kirk,WR,11,82.02,3,75,7,154.5,1622.02,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,85684b3a-5c0e-4f2b-a146-f1eea46e4cf5,f0062164-9e68-4f76-870f-062cda3e9f71,d58af5a8-05dd-40fa-8e39-635969daf7e8,1,Amon-Ra St. Brown,WR,6,57.45,1,49,5,171.0,1544.1,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,85684b3a-5c0e-4f2b-a146-f1eea46e4cf5,f0062164-9e68-4f76-870f-062cda3e9f71,d58af5a8-05dd-40fa-8e39-635969daf7e8,1,Kirk Cousins,QB,7,117.01,1,120,10,161.2,1544.1,0
d46e6746-0975-4960-a8f0-e115f8af56c8,2022-08-22 23:55:19.468274,30,50de3fb5-73d7-4bc5-b546-c099f60a5499,ce0a7425-f199-46ad-9ddd-66cebb8adae8,1cd5946d-6843-4773-90a7-81f5b22f5343,1,Drake London,WR,14,73.4,4,69,6,95.5,1395.32,0
